iter	MultiClass
363	1.369666922
364	1.369635608
365	1.369606886
366	1.369552048
367	1.369527065
368	1.369468406
369	1.369440663
370	1.369407618
371	1.369372228
372	1.369345261
373	1.369315127
374	1.369259577
375	1.369235079
376	1.36920764
377	1.369188908
378	1.369150229
379	1.369097023
380	1.369042467
381	1.368976831
382	1.368952783
383	1.368916278
384	1.368883312
385	1.368793355
386	1.368747379
387	1.368693443
388	1.368668028
389	1.36863556
390	1.368588732
391	1.368535374
392	1.368520574
393	1.368486727
394	1.368468092
395	1.368449054
396	1.368424163
397	1.368404877
398	1.368384171
399	1.368337021
400	1.368278518
401	1.368223475
402	1.36814862
403	1.368103409
404	1.368075931
405	1.368038376
406	1.367975318
407	1.367944795
408	1.367884767
409	1.367869457
410	1.367833608
411	1.367783603
412	1.367757955
413	1.367704015
414	1.367634929
415	1.367605014
416	1.367580575
417	1.367545512
418	1.367500152
419	1.367449553
420	1.367381977
421	1.367341744
422	1.367291524
423	1.367250852
424	1.367216255
425	1.367141001
426	1.367075418
427	1.367053477
428	1.367020425
429	1.36696756
430	1.366937024
431	1.366918965
432	1.366880013
433	1.366802337
434	1.366716546
435	1.366645528
436	1.366595052
437	1.366553606
438	1.366521956
439	1.366449627
440	1.366350727
441	1.366330109
442	1.366301822
443	1.366263266
444	1.366205558
445	1.366164608
446	1.36614264
447	1.36609589
448	1.366040192
449	1.366016789
450	1.365961589
451	1.365930926
452	1.365886084
453	1.365838776
454	1.365799936
455	1.365776757
456	1.365759347
457	1.365746028
458	1.365717058
459	1.365703522
460	1.365663163
461	1.365627377
462	1.365602986
463	1.365579708
464	1.365557785
465	1.36549519
466	1.365455354
467	1.365434072
468	1.365401066
469	1.365373811
470	1.365350014
471	1.365328865
472	1.365316164
473	1.365277314
474	1.365238942
475	1.365220257
476	1.365164636
477	1.365111555
478	1.365066206
479	1.365023661
480	1.365014451
481	1.364974243
482	1.364921003
483	1.36490169
484	1.364883192
485	1.364838566
486	1.364793864
487	1.364724259
488	1.364712635
489	1.36465797
490	1.364644248
491	1.364628926
492	1.364558197
493	1.364498991
494	1.364466361
495	1.364430087
496	1.364394404
497	1.364369544
498	1.364343988
499	1.364315722
500	1.364260969
501	1.364203973
502	1.364143611
503	1.364131989
504	1.364089926
505	1.364053679
506	1.364006392
507	1.363983757
508	1.363958136
509	1.363941626
510	1.363913713
511	1.363884495
512	1.363838268
513	1.363817123
514	1.363790998
515	1.36371923
516	1.363698622
517	1.363672864
518	1.363616687
519	1.363583312
520	1.363534012
521	1.363464367
522	1.363451061
523	1.363389025
524	1.363359443
525	1.363298037
526	1.363279096
527	1.363252548
528	1.36323759
529	1.363211236
530	1.363183119
531	1.363142212
532	1.363106342
533	1.363085498
534	1.362998961
535	1.362979193
536	1.362950266
537	1.362916787
538	1.362894638
539	1.362862494
540	1.362840573
541	1.362800689
542	1.362781217
543	1.362754845
544	1.36273601
545	1.362683637
546	1.362628559
547	1.362595032
548	1.362529322
549	1.362460631
550	1.362429099
551	1.362379032
552	1.362345208
553	1.362239503
554	1.362192951
555	1.362175332
556	1.36212739
557	1.362098857
558	1.362060393
559	1.362020848
560	1.361971347
561	1.361952647
562	1.361941039
563	1.361895742
564	1.361849574
565	1.361807231
566	1.361792856
567	1.361744146
568	1.36172174
569	1.361705583
570	1.361666138
571	1.361656635
572	1.361637877
573	1.361619384
574	1.36158661
575	1.361537411
576	1.361491565
577	1.361441301
578	1.36140434
579	1.361399246
580	1.361375958
581	1.361323242
582	1.361286185
583	1.361246655
584	1.361232066
585	1.36117852
586	1.361163483
587	1.361148933
588	1.361114794
589	1.361094644
590	1.361049193
591	1.361004878
592	1.360962558
593	1.360920568
594	1.36088542
595	1.360828672
596	1.360789959
597	1.360764874
598	1.360740249
599	1.360708231
600	1.360644049
601	1.360613297
602	1.360600319
603	1.360564405
604	1.360546813
605	1.360519966
606	1.360485286
607	1.360442877
608	1.36039001
609	1.36036266
610	1.360282713
611	1.360237912
612	1.360189655
613	1.360157043
614	1.360132186
615	1.360058078
616	1.360039011
617	1.360022406
618	1.359979461
619	1.35996568
620	1.35993934
621	1.35986106
622	1.359806308
623	1.359722827
624	1.359654537
625	1.359633584
626	1.359583594
627	1.359559584
628	1.359532206
629	1.359484199
630	1.359445035
631	1.359421927
632	1.359385548
633	1.359372566
634	1.359326285
635	1.359308782
636	1.359272288
637	1.35923438
638	1.359214097
639	1.359196965
640	1.359162145
641	1.359119108
642	1.359082791
643	1.359023085
644	1.359011044
645	1.358978762
646	1.358964075
647	1.358949315
648	1.358917989
649	1.35887937
650	1.358857126
651	1.358832977
652	1.358804353
653	1.358787851
654	1.358743914
655	1.358693922
656	1.358615469
657	1.358605534
658	1.358585492
659	1.35854541
660	1.358517986
661	1.358490571
662	1.358440524
663	1.358422942
664	1.358358762
665	1.358320639
666	1.358301326
667	1.358286829
668	1.358273816
669	1.358216188
670	1.358168907
671	1.358146073
672	1.358125563
673	1.358092983
674	1.358033587
675	1.358020024
676	1.357990088
677	1.357969589
678	1.357940426
679	1.357927538
680	1.357885268
681	1.357868931
682	1.357830021
683	1.357783928
684	1.357760211
685	1.357736651
686	1.357718093
687	1.357675789
688	1.357657189
689	1.357625165
690	1.357613685
691	1.35757697
692	1.357554488
693	1.357489146
694	1.357469436
695	1.357439426
696	1.357393028
697	1.357345089
698	1.357318798
699	1.357295225
700	1.357237233
701	1.357201571
702	1.357177199
703	1.35715642
704	1.357119721
705	1.357098535
706	1.357043038
707	1.357014478
708	1.356989133
709	1.356947987
710	1.356914778
711	1.356893107
712	1.356866573
713	1.35683612
714	1.356767878
715	1.356729158
716	1.356681958
717	1.356651778
718	1.356623373
719	1.356595461
720	1.35657786
721	1.356519302
722	1.356483
723	1.356429168
724	1.356416488
725	1.35636414
726	1.35629511
727	1.356249204
728	1.356195277
729	1.356140575
730	1.356124622
731	1.356112603
732	1.356080081
733	1.356059465
734	1.356037586
735	1.35602308
736	1.355991564
737	1.355981218
738	1.3559584
739	1.355932219
740	1.355905203
741	1.355887188
742	1.355847181
743	1.355819022
744	1.355773222
745	1.355755817
746	1.355738151
747	1.355670686
748	1.355644937
749	1.355588008
750	1.3555809
751	1.355567561
752	1.355532685
753	1.355512806
754	1.355439034
755	1.355382903
756	1.355344535
757	1.355310794
758	1.355242543
759	1.355225392
760	1.355159949
761	1.355143377
762	1.355124199
763	1.355070681
764	1.355026193
765	1.354997363
766	1.35498242
767	1.354957034
768	1.354907587
769	1.354853328
770	1.354835578
771	1.354812977
772	1.354797314
773	1.354776856
774	1.354720445
775	1.354703938
776	1.354681521
777	1.354632117
778	1.354620615
779	1.354593497
780	1.354560346
781	1.354546192
782	1.354520103
783	1.354508234
784	1.354478433
785	1.354416092
786	1.354390438
787	1.354323151
788	1.354286566
789	1.354256809
790	1.354248331
791	1.354231673
792	1.354171349
793	1.354138318
794	1.354107568
795	1.354086967
796	1.354062656
797	1.354047426
798	1.354020847
799	1.353999413
